	Corr Balanced Accu	Precision	Corr Recall	Corr F1-score
I1633	0.694	0.688	0.423	0.524
I5233	0.664	0.692	0.346	0.461
I2514	0.649	0.714	0.385	0.5
I5742	0.772	0.789	0.577	0.667
I2935	0.645	0.8	0.308	0.445
I5725	0.704	0.846	0.423	0.564
I4877	0.666	0.75	0.346	0.474
I2862	0.684	0.733	0.423	0.536
I1734	0.582	0.5	0.192	0.277
I3133	0.756	0.737	0.538	0.622
I4432	0.687	0.611	0.423	0.5
I2861	0.711	0.632	0.462	0.534
I5838	0.738	0.684	0.5	0.578
I3957	0.792	0.842	0.615	0.711
I3255	0.738	0.867	0.5	0.634
