sample	Alu_pre	L1_pre	SVA_pre	Alu_sen	L1_sen	SVA_sen	Alu_F1	L1_F1	SVA_F1
I7224	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I1581	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I4233	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I4562	0.0	0.5	0	0.0	0.0022988505747126436	0.0	0.0	0.004576659038901601	0.0
I5109	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I5698	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
I2170	0.0	0.5	0	0.0	0.0022988505747126436	0.0	0.0	0.004576659038901601	0.0
I6730	0.0	0.5	0	0.0	0.0022988505747126436	0.0	0.0	0.004576659038901601	0.0
I7491	0.0	0.75	0	0.0	0.006896551724137931	0.0	0.0	0.01366742596810934	0.0
I0231	0.07692307692307693	0.3333333333333333	0	0.008130081300813009	0.009195402298850575	0.0	0.014705882352941178	0.017897091722595078	0.0
